"id_tour","id_pays","annee","inbound_arrival"
"1228","228","2018","79000"
"1229","229","2018","900"
"1230","230","2018","160000"
"1231","231","2018","3716000"
"1232","232","2018","2315000"
"1233","233","2018","21719000"
"1234","234","2018","43318000"
"1235","242","2018","454000"
"1236","236","2018","2022000"
"1237","238","2018","44000"
"1238","239","2018","700000"
"1239","240","2018","975000"
"1240","245","2018","61000"
"1241","246","2018","163000"
"1242","247","2018","1363000"
"1243","1","2019","1062000"
"1244","3","2019","34000"
"1245","4","2019","2347000"
"1246","5","2019","9000"
"1247","6","2019","39000"
"1248","8","2019","220000"
"1249","9","2019","2289000"
"1250","10","2019","12000"
"1251","11","2019","619000"
"1252","12","2019","3825000"
"1253","13","2019","17173000"
"1254","14","2019","576000"
"1255","15","2019","1598000"
"1256","16","2019","1396000"
"1257","17","2019","156000"
"1258","18","2019","442000"
"1259","19","2019","363000"
"1260","20","2019","5560000"
"1261","21","2019","131000"
"1262","22","2019","138000"
"1263","23","2019","387000"
"1264","24","2019","4800"
"1265","25","2019","284000"
"1266","26","2019","59000"
"1267","27","2019","115000"
"1268","28","2019","521000"
"1269","30","2019","1991000"
"1270","241","2019","219000"
"1271","32","2019","119000"
"1272","33","2019","3466000"
"1273","34","2019","124000"
"1274","35","2019","34000"
"1275","36","2019","220000"
"1276","37","2019","100000"
"1277","38","2019","16968000"
"1278","39","2019","28000"
"1279","40","2019","361000"
"1280","41","2019","26000"
"1281","42","2019","19000"
"1282","43","2019","1540000"
"1283","44","2019","20034000"
"1284","47","2019","1399000"
"1285","48","2019","23000"
"1286","49","2019","37000"
"1287","51","2019","48000"
"1288","52","2019","785000"
"1289","53","2019","1485000"
"1290","54","2019","742000"
"1291","55","2019","224000"
"1292","56","2019","2100000"
"1293","57","2019","3381000"
"1294","50","2019","35000"
"1295","59","2019","2125000"
"1296","60","2019","21000"
"1297","61","2019","60000"
"1298","62","2019","1776000"
"1299","220","2019","14000"
"1300","64","2019","2871000"
"1301","65","2019","235000"
"1302","68","2019","530000"
"1303","212","2019","300000"
"1304","69","2019","103000"
"1305","72","2019","318000"
"1306","73","2019","1779000"
"1307","74","2019","60033000"
"1308","75","2019","68000"
"1309","76","2019","172000"
"1310","78","2019","125000"
"1311","79","2019","45000"
"1312","80","2019","1067000"
"1313","81","2019","14847000"
"1314","82","2019","286000"
"1315","84","2019","10130000"
"1316","86","2019","108000"
"1317","87","2019","640000"
"1318","88","2019","1362000"
"1319","89","2019","1448000"
"1320","91","2019","12000"
"1321","92","2019","7800"
"1322","93","2019","106000"
"1323","94","2019","145000"
"1324","97","2019","271000"
"1325","98","2019","8007000"
"1326","99","2019","2878000"
"1327","100","2019","190000"
"1328","101","2019","2124000"
"1329","102","2019","9963000"
"1330","103","2019","882000"
"1331","105","2019","4818000"
"1332","107","2019","2215000"
"1333","108","2019","31052000"
"1334","109","2019","1147000"
"1335","112","2019","1075000"
"1336","113","2019","1471000"
"1337","114","2019","918000"
"1338","115","2019","3900"
"1339","118","2019","72000"
"1340","119","2019","36000"
"1341","120","2019","60000"
"1342","121","2019","539000"
"1343","122","2019","450000"
"1344","123","2019","87000"
"1345","125","2019","56000"
"1346","126","2019","59400"
"1347","127","2019","650000"
"1348","128","2019","768000"
"1349","129","2019","4202000"
"1350","131","2019","75000"
"1351","132","2019","192000"
"1352","133","2019","7469000"
"1353","134","2019","315000"
"1354","135","2019","42000"
"1355","136","2019","1116000"
"1356","137","2019","5500"
"1357","138","2019","457000"
"1358","139","2019","24000"
"1359","140","2019","422000"
"1360","142","2019","20241000"
"1361","143","2019","17600"
"1362","144","2019","32000"
"1363","145","2019","233000"
"1364","146","2019","165000"
"1365","147","2019","136000"
"1366","148","2019","17700"
"1367","149","2019","2602000"
"1368","150","2019","323000"
"1369","151","2019","194000"
"1370","152","2019","272000"
"1371","154","2019","363000"
"1372","155","2019","6574000"
"1373","156","2019","86000"
"1374","157","2019","1475000"
"1375","158","2019","281000"
"1376","159","2019","35000"
"1377","160","2019","656000"
"1378","161","2019","2200"
"1379","130","2019","147000"
"1380","163","2019","669000"
"1381","164","2019","2880000"
"1382","165","2019","279000"
"1383","166","2019","378000"
"1384","167","2019","53000"
"1385","168","2019","220000"
"1386","169","2019","345000"
"1387","170","2019","42000"
"1388","171","2019","438000"
"1389","172","2019","479000"
"1390","173","2019","1760000"
"1391","175","2019","19215000"
"1392","176","2019","9511000"
"1393","177","2019","3131000"
"1394","178","2019","309000"
"1395","182","2019","304000"
"1396","179","2019","2757000"
"1397","180","2019","19457000"
"1398","181","2019","104000"
"1399","26","2019","10000"
"1400","185","2019","79000"
"1401","186","2019","231000"
"1402","189","2019","60000"
"1403","190","2019","68000"
"1404","191","2019","28000"
"1405","192","2019","6200"
"1406","193","2019","3325000"
"1407","194","2019","280000"
"1408","195","2019","312000"
"1409","195","2019","228000"
"1410","196","2019","121000"
"1411","197","2019","13800"
"1412","198","2019","6070000"
"1413","26","2019","8800"
"1414","199","2019","460000"
"1415","200","2019","903000"
"1416","201","2019","732000"
"1417","202","2019","11800"
"1418","204","2019","4488000"
"1419","207","2019","32971000"
"1420","208","2019","403000"
"1421","209","2019","29000"
"1422","210","2019","43000"
"1423","213","2019","2310000"
"1424","214","2019","6946000"
"1425","215","2019","815000"
"1426","217","2019","1600"
"1427","218","2019","285000"
"1428","219","2019","6952000"
"1429","221","2019","53000"
"1430","223","2019","29000"
"1431","224","2019","260000"
"1432","225","2019","4120000"
"1433","226","2019","7083000"
"1434","227","2019","218000"
"1435","228","2019","79000"
"1436","229","2019","900"
"1437","230","2019","160000"
"1438","231","2019","3716000"
"1439","232","2019","2315000"
"1440","233","2019","21719000"
"1441","234","2019","43318000"
"1442","242","2019","454000"
"1443","236","2019","2022000"
"1444","238","2019","44000"
"1445","239","2019","700000"
"1446","240","2019","975000"
"1447","245","2019","61000"
"1448","246","2019","163000"
"1449","247","2019","1363000"
"1450","1","2020","1062000"
"1451","3","2020","34000"
"1452","4","2020","2347000"
"1453","5","2020","9000"
"1454","6","2020","39000"
"1455","8","2020","220000"
"1456","9","2020","2289000"
"1457","10","2020","12000"
"1458","11","2020","619000"
"1459","12","2020","3825000"
"1460","13","2020","17173000"
"1461","14","2020","576000"
"1462","15","2020","1598000"
"1463","16","2020","1396000"
"1464","17","2020","156000"
"1465","18","2020","442000"
"1466","19","2020","363000"
"1467","20","2020","5560000"
"1468","21","2020","131000"
"1469","22","2020","138000"
"1470","23","2020","387000"
"1471","24","2020","4800"
"1472","25","2020","284000"
"1473","26","2020","59000"
"1474","27","2020","115000"
"1475","28","2020","521000"
"1476","30","2020","1991000"
"1477","241","2020","219000"
"1478","32","2020","119000"
"1479","33","2020","3466000"
"1480","34","2020","124000"
"1481","35","2020","34000"
"1482","36","2020","220000"
"1483","37","2020","100000"
"1484","38","2020","16968000"
"1485","39","2020","28000"
"1486","40","2020","361000"
"1487","41","2020","26000"
"1488","42","2020","19000"
"1489","43","2020","1540000"
"1490","44","2020","20034000"
"1491","47","2020","1399000"
"1492","48","2020","23000"
"1493","49","2020","37000"
"1494","51","2020","48000"
"1495","52","2020","785000"
"1496","53","2020","1485000"
"1497","54","2020","742000"
"1498","55","2020","224000"
"1499","56","2020","2100000"
"1500","57","2020","3381000"
"1501","50","2020","35000"
"1502","59","2020","2125000"
"1503","60","2020","21000"
"1504","61","2020","60000"
"1505","62","2020","1776000"
"1506","220","2020","14000"
"1507","64","2020","2871000"
"1508","65","2020","235000"
"1509","68","2020","530000"
"1510","212","2020","300000"
"1511","69","2020","103000"
"1512","72","2020","318000"
"1513","73","2020","1779000"
