"id_meteo","id_pays","annee","automne_tavg","hiver_tavg","printemps_tavg","ete_tavg","automne_tmax","hiver_tmax","printemps_tmax","ete_tmax","automne_tmin","hiver_tmin","printemps_tmin","ete_tmin"
"136","179","2018","8.17692","2.66667","18.1815","23.225","13.1165","6.38778","24.5348","29.7707","4.21319","-0.261111","12.4272","17.7272"
"137","180","2018","2.55517","-6.23444","11.5033","20.1375","5.77363","-3.58","17.2152","25.4326","0.221978","-8.93111","6.24783","14.9033"
"138","182","2018","24.3077","26.77","24.3815","21.7315","28.1813","30.28","28.289","25.625","20.8","23.3989","21.0587","18.2989"
"139","188","2018","4.80549","-1.44222","3.56413","14.2055","7.30778","1.47222","7.45495","17.7461","2.38222","-3.95222","1.03297","11.8438"
"140","190","2018","26.825","27.36","26.725","0","31.1","30.84","30.525","0","23.35","24.94","23.6","0"
"141","191","2018","12.1066","5.85444","17.2891","23.6076","16.0011","9.67444","21.9098","27.8457","8.23956","2.30556","12.0848","18.6011"
"142","194","2018","25.6846","20.2189","21.4163","26.9902","29.0989","24.0492","24.3567","29.7938","22.8802","17.7705","19.1493","24.6756"
"143","195","2018","11.0626","4.96778","19.2554","23.6913","15.7308","8.47889","24.587","29.1141","7.50769","2.15778","14.6239","18.913"
"144","196","2018","27.189","27.2944","27.512","25.8087","30.133","29.6268","30.0427","28.1359","24.733","25.2695","25.3523","24.1753"
"145","197","2018","26.9527","27.0476","27.8831","26.1525","30.5264","32.1455","0","28.8258","23.8747","22.6818","0","23.5097"
"146","198","2018","28.2451","27.5044","28.625","28.3098","31.9967","31.2433","32.2946","30.8957","25.8099","25.11","26.1293","26.2"
"147","200","2018","8.5967","2.42556","17.2626","22.2815","12.6176","5.03667","22.5286","27.6946","4.92088","-0.103333","12.089","17.0576"
"148","201","2018","10.5231","3.87","17.7924","23.1163","14.3154","7.23778","23.8446","29.1783","7.51648","1.41111","12.5217","17.6598"
"149","202","2018","27.3242","27.1467","26.7587","26.4043","32.1462","32.0111","31.7471","31.2033","24.2385","23.7964","23.5824","23.3506"
"150","205","2018","3.12527","6.62","1.8989","-0.278261","6.44506","9.15","9.62353","2.35679","-0.124176","2.735","0.861111","-2.05385"
"151","117","2018","9.25385","-0.558889","16.6391","26.738","14.2286","1.89091","18.7333","31.253","5.22967","-5.46667","11.45","23.2519"
"152","207","2018","10.522","4.28222","11.7946","23.1143","14.7429","8.54889","17.263","29.1217","7.14835","1.50556","7.63913","17.45"
"153","208","2018","26.9055","26.7833","27.825","27.5174","30.1088","30.9072","30.9629","29.7054","24.0923","23.0785","24.9225","25.7098"
"154","183","2018","27.1868","25.163","26.6071","28.3222","29.5374","27.563","29.0247","30.89","25.1846","23.1167","24.7388","26.2756"
"155","185","2018","26.5789","25.2202","26.5264","27.7256","29.4333","28.0045","29.4","30.4689","24.2111","23.0348","24.3356","25.6256"
"156","186","2018","26.9055","26.0225","27.1364","27.8172","29.5846","28.3237","29.4848","30.1471","24.8253","24.1325","25.1439","25.8345"
"157","187","2018","27.1868","25.163","26.6071","28.3222","29.5374","27.563","29.0247","30.89","25.1846","23.1167","24.7388","26.2756"
"158","209","2018","31.3187","28.0856","35.6174","33.3761","37.4527","34.3545","41.5944","38.2828","25.2626","20.6424","28.35","28.257"
"159","211","2018","-3.43636","-10.4394","-6.72857","3.43333","-1.68182","-8.13636","-4.85429","4.86667","-5.03636","-12.9424","-8.70286","2.04"
"160","213","2018","5.26703","-2.53333","10.5663","18.4367","7.61648","-0.36","15.7272","22.9391","2.63736","-4.97444","4.80652","13.162"
"161","216","2018","22.5769","16.9922","25.4543","29.7087","26.0198","20.4444","30.0022","34.1","19.967","14.2333","21.8174","26.687"
"162","219","2018","28.5429","27.7267","29.1402","28.3783","32.8901","32.2865","33.5098","32.2098","25.3659","24.092","26.0344","25.8261"
"163","220","2018","27.6341","27.5545","0","25.7661","30.4626","29.8545","0","28.4565","25.4022","26.1909","0","23.2016"
"164","221","2018","27.9429","28.1833","27.7967","25.8022","31.9143","32.2429","31.4143","29.3761","24.8341","24.9329","24.8671","23.5769"
"165","223","2018","24.1024","26.7397","24.2155","22.1148","27.3735","30.2064","27.4274","25.1466","21.2928","23.9756","21.8167","19.542"
"166","224","2018","26.5154","25.3867","26.4402","26.8924","31.6473","30.1349","31.5","31.8022","22.7319","21.1349","22.7333","23.3652"
"168","225","2018","17.8352","12.88","19.0207","26.8196","22.2626","17.8636","24.6352","32.4077","13.8077","8.68023","14.4161","22.1402"
"169","227","2018","13.733","7.72333","23.3522","31.987","19.0505","12.5811","29.5033","38.463","9.12857","3.80667","17.0033","24.8707"
"170","228","2018","25.589","23.9545","0","27.2016","29.2615","27.8727","0","28.8742","22.9297","21.0545","0","25.6419"
"171","229","2018","28.9011","28.5589","28.913","28.4304","31.8356","31.4127","31.6886","31.2451","26.1618","25.4","26.3107","26.1622"
"172","242","2018","27.0549","24.6066","26.3062","28.2714","30.1978","27.8067","29.2273","31.3511","24.5176","22.22","23.4898","25.8826"
"173","231","2018","4.71099","-2.31667","15.6207","21.2793","8.60769","0.254444","21.3261","27.1196","1.06374","-4.80889","9.70674","15.813"
"174","232","2018","27.7429","21.0011","31.3576","36.0533","33.2066","26.3133","37.8109","42.762","23.0791","16.0033","25.8692","31.1348"
"175","233","2018","9.38242","5.84111","13.4707","18.5511","12.3264","8.25","17.6165","22.9043","6.63956","3.57889","9.9","14.3478"
